pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist,is_borderline_massive,size_class,temp_zone,P_HABITABLE,P_ESI,P_TYPE,P_HABZONE_OPT,P_HABZONE_CON,hwc_habitable_label
TOI-880 c,TOI-880,Transit,2025,6.3872703,4.95,21.7,805.0,5050.0,0.83,0.87,60.6679,False,Sub-Neptune/Neptune,Too Hot,,,,,,
HD 12235 b,HD 12235,Radial Velocity,2022,4.36305,3.23,10.48833743,1667.37,5986.0,1.80185,1.1,31.7627,False,Sub-Neptune/Neptune,Too Hot,0.0,0.20154705,Neptunian,0.0,0.0,Not habitable
Kepler-444 f,Kepler-444,Transit,2015,9.740486,0.741,0.332,673.0,5046.0,0.752,0.758,36.4396,False,Earth-sized,Too Hot,0.0,0.30814473,Subterran,0.0,0.0,Not habitable
GJ 887 c,GJ 887,Radial Velocity,2020,21.784,2.43,6.5,320.0,3688.0,0.468,0.495,3.28679,False,Sub-Neptune/Neptune,Temperate,0.0,0.55357397,Superterran,0.0,0.0,Not habitable
Kepler-524 b,Kepler-524,Transit,2016,7.97419807,1.91,4.31,974.0,6014.0,1.1,1.09,1058.24,False,Super-Earth,Too Hot,0.0,0.26219107,Superterran,0.0,0.0,Not habitable
Kepler-1075 b,Kepler-1075,Transit,2016,1.52372816,1.42,2.6,818.0,3959.0,0.54,0.56,291.275,False,Super-Earth,Too Hot,0.0,0.2900978,Terran,0.0,0.0,Not habitable
Kepler-368 b,Kepler-368,Transit,2014,26.84768,3.26,10.7,800.0,5502.0,2.019,1.165,770.978,False,Sub-Neptune/Neptune,Too Hot,0.0,0.21126107,Neptunian,0.0,0.0,Not habitable
Kepler-115 b,Kepler-115,Transit,2014,2.403679,1.09,1.32,1489.0,5979.0,1.205,1.042,623.609,False,Earth-sized,Too Hot,0.0,0.29334042,Terran,0.0,0.0,Not habitable
Kepler-1735 b,Kepler-1735,Transit,2021,7.71792984,1.19429134,1.84,502.0,3975.0,0.509,0.535,245.303,False,Earth-sized,Too Hot,0.0,0.37001232,Terran,0.0,0.0,Not habitable
TOI-1898 b,TOI-1898,Transit,2024,45.52234,9.39553231,129.0,674.54,6241.0,1.6131,1.2484,79.6682,False,Giant,Too Hot,,,,,,
Kepler-1130 c,Kepler-1130,Transit,2021,3.266639948,0.79239584,0.422,1072.0,5450.0,0.842,0.944,249.343,False,Earth-sized,Too Hot,0.0,0.29271682,Subterran,0.0,0.0,Not habitable
HD 20782 b,HD 20782,Radial Velocity,2006,597.0643,13.6,472.83,253.34,5782.13,1.12681,1.04,35.9864,False,Giant,Temperate,0.0,0.33467165,Jovian,1.0,1.0,Not habitable
Kepler-1376 b,Kepler-1376,Transit,2016,5.30880656,1.05,1.16,1042.0,5659.0,0.97,0.98,868.056,False,Earth-sized,Too Hot,0.0,0.29861167,Terran,0.0,0.0,Not habitable
Kepler-1190 b,Kepler-1190,Transit,2016,10.45843441,1.33,2.33,609.0,4730.0,0.72,0.76,342.509,False,Super-Earth,Too Hot,0.0,0.33716349,Terran,0.0,0.0,Not habitable
Kepler-450 b,Kepler-450,Transit,2015,28.454851,6.14,19.4,769.0,6197.21,1.64162,1.19,455.982,False,Giant,Too Hot,0.0,0.14126641,Neptunian,0.0,0.0,Not habitable
Kepler-758 d,Kepler-758,Transit,2016,20.4966197,2.12,5.14,843.0,6228.0,1.42,1.16,1502.32,False,Sub-Neptune/Neptune,Too Hot,0.0,0.2562883,Superterran,0.0,0.0,Not habitable
HAT-P-47 b,HAT-P-47,Transit,2026,4.73217441,14.71739166,65.47265184,1605.0,6703.0,1.515,1.387,282.096,False,Giant,Too Hot,,,,,,
HD 135625 b,HD 135625,Radial Velocity,2023,4055.0,13.3,731.0053361,146.04,6040.64,1.35743,1.28,56.518,False,Giant,Too Cold,0.0,0.14117265,Jovian,0.0,0.0,Not habitable
TOI-2211.01,TOI-2211,Transit,2024,3.092686757,1.561,3.06,1056.92,5253.0,0.834,0.9,70.2932,False,Super-Earth,Too Hot,,,,,,
Kepler-124 b,Kepler-124,Transit,2014,3.410493,0.73,0.315,892.0,4984.0,0.636,0.706,420.046,False,Earth-sized,Too Hot,0.0,0.29053401,Subterran,0.0,0.0,Not habitable
Kepler-1259 b,Kepler-1259,Transit,2016,0.663085258,1.43,2.63,1681.0,5053.0,0.77,0.8,805.562,False,Super-Earth,Too Hot,0.0,0.28250351,Terran,0.0,0.0,Not habitable
TOI-1859 b,TOI-1859,Transit,2023,63.48347,9.75181321,68.6,615.0,6341.0,1.36,1.287,224.385,False,Giant,Too Hot,0.0,0.12093196,Jovian,0.0,0.0,Not habitable
TOI-1836 b,TOI-1836,Transit,2024,20.380799,8.00321222,38.45723725,966.0,6380.0,1.577,1.307,191.649,False,Giant,Too Hot,,,,,,
Kepler-616 b,Kepler-616,Transit,2016,9.99761851,2.43,6.48,860.0,5753.0,0.97,0.98,945.775,False,Sub-Neptune/Neptune,Too Hot,0.0,0.24820246,Superterran,0.0,0.0,Not habitable
HD 141399 e,HD 141399,Radial Velocity,2014,5000.0,14.1,209.7678,142.24,5600.0,1.387236,1.07,37.0169,False,Giant,Too Cold,0.0,0.12795572,Jovian,0.0,0.0,Not habitable
Kepler-1008 b,Kepler-1008,Transit,2016,12.43931193,1.28,2.18,627.0,5066.0,0.78,0.81,282.565,False,Super-Earth,Too Hot,0.0,0.32720794,Terran,0.0,0.0,Not habitable
TOI-2133 b,TOI-2133,Transit,2026,3.8266472,2.37,6.21,798.0,4250.0,0.62,0.644,75.1973,False,Sub-Neptune/Neptune,Too Hot,,,,,,
Kepler-1979 b,Kepler-1979,Transit,2023,18.5084526,29.33,,683.0,5942.0,0.938,1.028,1076.27,False,Giant,Too Hot,0.0,0.056118098,Jovian,0.0,0.0,Not habitable
TOI-2406 b,TOI-2406,Transit,2021,3.0766891,2.86,15.6,449.0,3100.0,0.204,0.166,55.419,False,Sub-Neptune/Neptune,Too Hot,0.0,0.2120112,Neptunian,0.0,0.0,Not habitable
WASP-157 b,WASP-157,Transit,2016,3.951623,11.19,182.43442,1193.0,5772.0,1.1,1.06,334.037,False,Giant,Too Hot,0.0,0.080622058,Jovian,0.0,0.0,Not habitable
Kepler-1183 b,Kepler-1183,Transit,2016,28.5057189,2.82,8.35,555.0,5765.0,0.99,1.0,1919.19,False,Sub-Neptune/Neptune,Too Hot,0.0,0.23908045,Neptunian,0.0,0.0,Not habitable
Kepler-331 d,Kepler-331,Transit,2014,32.134328,1.64,3.33,346.0,4347.0,0.492,0.653,580.119,False,Super-Earth,Too Hot,0.0,0.45375122,Superterran,0.0,0.0,Not habitable
TOI-5322 b,TOI-5322,Transit,2025,5.4233207,16.6117094,184.02264765,1350.0,5692.0,1.462,0.998,476.899,False,Giant,Too Hot,,,,,,
HD 457 b,HD 457,Radial Velocity,2022,20324.58153,11.9,8445.3364308,85.15,6114.04,1.28194,1.15,55.0375,True,Giant,Too Cold,0.0,0.085571268,Jovian,0.0,0.0,Not habitable
HD 112640 b,HD 112640,Radial Velocity,2020,613.2,12.9,1589.15,959.65,4155.0,39.0,1.8,323.335,False,Giant,Too Hot,0.0,0.079630539,Jovian,0.0,0.0,Not habitable
Kepler-1647 b,Kepler-1647,Transit,2016,1107.5923,11.8739,483.0,242.92,6210.0,1.7903,1.2207,1212.45,False,Giant,Temperate,0.0,0.37654079,Jovian,1.0,1.0,Not habitable
Kepler-1197 b,Kepler-1197,Transit,2016,2.03231845,1.25,2.1,1011.0,4708.0,0.72,0.78,486.94,False,Super-Earth,Too Hot,0.0,0.29373927,Terran,0.0,0.0,Not habitable
HD 153557 b,HD 153557,Radial Velocity,2022,7.29903,4.77,20.34101805,772.12,4837.0,0.745171,0.79,17.9412,False,Sub-Neptune/Neptune,Too Hot,0.0,0.17483554,Neptunian,0.0,0.0,Not habitable
Kepler-1939 b,Kepler-1939,Transit,2021,2.790659904,1.16480773,1.68,816.0,4353.0,0.603,0.648,189.833,False,Earth-sized,Too Hot,0.0,0.30088024,Terran,0.0,0.0,Not habitable
TIC 117642575 b,TIC 117642575,Transit,2026,4.94459060181,2.82716337,8.38,,5719.98,1.08102,1.06,188.758,False,Sub-Neptune/Neptune,,,,,,,
Kepler-621 b,Kepler-621,Transit,2016,2.628113746,2.3,5.9,737.0,4521.0,0.68,0.72,389.0,False,Sub-Neptune/Neptune,Too Hot,0.0,0.24721826,Superterran,0.0,0.0,Not habitable
Kepler-1113 b,Kepler-1113,Transit,2016,42.3004954,2.81,8.3,558.0,5931.0,1.17,1.12,1073.88,False,Sub-Neptune/Neptune,Too Hot,0.0,0.2757122,Neptunian,0.0,0.0,Not habitable
Kepler-142 b,Kepler-142,Transit,2014,2.024152,1.99,4.62,1597.0,5790.0,1.269,0.978,548.686,False,Super-Earth,Too Hot,0.0,0.25621469,Superterran,0.0,0.0,Not habitable
Kepler-662 b,Kepler-662,Transit,2016,21.67697486,2.18,5.39,530.0,4897.0,0.74,0.79,815.637,False,Sub-Neptune/Neptune,Too Hot,0.0,0.30255344,Superterran,0.0,0.0,Not habitable
Kepler-1336 c,Kepler-1336,Transit,2016,5.77721211,1.71,3.57,1260.0,5512.0,1.3,0.94,1126.64,False,Super-Earth,Too Hot,0.0,0.27109083,Superterran,0.0,0.0,Not habitable
TOI-216.02,TOI-216,Transit,2019,17.16073,8.0,18.75187601,628.0,5026.0,0.748,0.77,177.945,False,Giant,Too Hot,0.0,0.15209378,Neptunian,0.0,0.0,Not habitable
Kepler-236 c,Kepler-236,Transit,2014,23.968127,2.0,4.66,329.0,3750.0,0.51,0.596005,288.763,False,Sub-Neptune/Neptune,Too Hot,0.0,0.54878124,Superterran,0.0,0.0,Not habitable
HD 196067 b,HD 196067,Radial Velocity,2012,3413.7,12.4,3623.2438398,176.42,6072.0,1.71,1.16,39.9346,False,Giant,Too Cold,0.0,0.23462114,Jovian,0.0,0.0,Not habitable
Kepler-1210 b,Kepler-1210,Transit,2016,8.07124073,1.7,3.53,856.0,5568.0,0.92,0.94,1176.53,False,Super-Earth,Too Hot,0.0,0.28036227,Superterran,0.0,0.0,Not habitable
Kepler-91 b,Kepler-91,Transit,2013,6.24658,15.322703,257.4423,2040.0,4550.0,6.3,1.31,1294.69,False,Giant,Too Hot,0.0,0.059604068,Jovian,0.0,0.0,Not habitable
K2-290 b,K2-290,Transit,2019,9.21165,3.06,10.9,1230.0,6302.0,1.511,1.194,272.909,False,Sub-Neptune/Neptune,Too Hot,0.0,0.21114911,Neptunian,0.0,0.0,Not habitable
Kepler-1766 b,Kepler-1766,Transit,2021,105.0149994,2.27904508,5.81,406.0,5868.0,1.042,0.915,501.229,False,Sub-Neptune/Neptune,Too Hot,0.0,0.3792457,Superterran,0.0,0.0,Not habitable
HD 176986 c,HD 176986,Radial Velocity,2017,16.8124,,2097.98531461,558.0,4931.0,0.782,0.789,27.7843,False,,Too Hot,0.0,0.26121765,Superterran,0.0,0.0,Not habitable
K2-170 c,K2-170,Transit,2018,12.400047,1.8017647,3.9,,5748.0,0.981614,0.963657,392.872,False,Super-Earth,,0.0,0.27669698,Superterran,0.0,0.0,Not habitable
HD 72490 b,HD 72490,Radial Velocity,2018,858.0,13.5,561.92344,386.45,4934.0,4.96,1.21,126.339,False,Giant,Too Hot,0.0,0.27420487,Jovian,0.0,0.0,Not habitable
HD 12661 c,HD 12661,Radial Velocity,2002,1708.0,13.2,899.45439181,174.06,5748.0,1.11,1.02,37.8478,False,Giant,Too Cold,0.0,0.19476847,Jovian,0.0,0.0,Not habitable
Kepler-1061 b,Kepler-1061,Transit,2016,2.757982666,1.98,4.58,1332.0,6067.0,1.07,1.09,543.375,False,Super-Earth,Too Hot,0.0,0.25725394,Superterran,0.0,0.0,Not habitable
Kepler-1904 b,Kepler-1904,Transit,2021,4.577020168,1.3904994,2.51,567.0,3805.0,0.497,0.526,270.854,False,Super-Earth,Too Hot,0.0,0.3342685,Terran,0.0,0.0,Not habitable
Kepler-473 b,Kepler-473,Transit,2016,14.55731705,4.08,15.6,879.0,5816.0,1.34,1.06,905.937,False,Sub-Neptune/Neptune,Too Hot,0.0,0.17812958,Neptunian,0.0,0.0,Not habitable
HD 14787 b,HD 14787,Radial Velocity,2018,676.6,13.7,356.28743,409.43,4946.0,5.01,1.43,119.137,False,Giant,Too Hot,0.0,0.23949559,Jovian,0.0,0.0,Not habitable
WASP-106 b,WASP-106,Transit,2014,9.28969,12.10569916,613.40882551,1140.0,6002.0,1.47,1.175,352.181,False,Giant,Too Hot,0.0,0.080352335,Jovian,0.0,0.0,Not habitable
TOI-6158 b,TOI-6158,Transit,2026,3.0446899,10.4,135.0,636.0,3467.0,0.476,0.503,180.96,False,Giant,Too Hot,,,,,,
Kepler-1840 b,Kepler-1840,Transit,2021,131.1900024,2.77771129,8.13,284.0,4898.0,0.803,0.774,513.107,False,Sub-Neptune/Neptune,Temperate,0.0,0.66106477,Neptunian,1.0,0.0,Not habitable
kap And b,kap And,Imaging,2012,,15.91675259,5498.4314411,1791.0,11327.0,2.109,2.768,50.0177,True,Giant,Too Hot,0.0,0.095475919,Jovian,0.0,0.0,Not habitable
Kepler-1751 b,Kepler-1751,Transit,2021,7.017310143,1.82417378,3.98,984.0,6052.0,0.967,0.974,1291.47,False,Super-Earth,Too Hot,0.0,0.26971013,Superterran,0.0,0.0,Not habitable
Kepler-1067 b,Kepler-1067,Transit,2016,0.762129261,0.8,0.437,1872.0,5592.0,0.93,0.95,667.693,False,Earth-sized,Too Hot,0.0,0.28905904,Subterran,0.0,0.0,Not habitable
TOI-2578 b,TOI-2578,Transit,2026,3.4579667,19.66055215,167.17774208,1778.0,6333.0,1.64,1.27,285.53,False,Giant,Too Hot,,,,,,
Kepler-624 b,Kepler-624,Transit,2016,14.58649607,2.31,5.95,852.0,6117.0,1.18,1.1,748.188,False,Sub-Neptune/Neptune,Too Hot,0.0,0.24869723,Superterran,0.0,0.0,Not habitable
TOI-5349 b,TOI-5349,Transit,2026,3.317921,10.2,127.4,719.0,3751.0,0.58,0.61,188.336,False,Giant,Too Hot,,,,,,
TOI-1294 c,TOI-1294,Radial Velocity,2024,159.9,14.3,147.0,440.45,5718.0,1.5566,1.1578,332.648,False,Giant,Too Hot,,,,,,
Kepler-1039 b,Kepler-1039,Transit,2016,0.934884242,1.46,2.73,2080.0,4870.0,0.74,0.79,306.91,False,Super-Earth,Too Hot,0.0,0.28273128,Terran,0.0,0.0,Not habitable
