pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist
Gaia-1 b,Gaia-1,Transit,2022,3.052524,13.77583728,533.95172376,1159.07,5470.0,0.952,0.949,363.66
Kepler-1527 b,Kepler-1527,Transit,2016,160.129918,4.77,20.4,450.0,6224.0,1.32,1.21,1842.13
Kepler-1980 b,Kepler-1980,Transit,2023,33.0257179,2.21,5.52,564.0,5819.0,0.99,1.049,1709.4
TOI-122 b,TOI-122,Transit,2020,5.07803,2.72,7.85,471.0,3403.0,0.334,0.312,62.118
HATS-52 b,HATS-52,Transit,2017,1.36665436,15.490838,711.9392,1834.0,6010.0,1.046,1.111,555.134
Kepler-250 d,Kepler-250,Transit,2014,17.648312,2.18,5.39,579.0,5160.0,0.805,0.806,760.585
Kepler-1298 b,Kepler-1298,Transit,2016,7.12811928,1.31,2.27,1373.0,6339.0,2.0,1.45,544.163
Kepler-1361 b,Kepler-1361,Transit,2016,3.57554956,0.86,0.566,1061.0,5131.0,0.79,0.83,389.143
Kepler-619 b,Kepler-619,Transit,2016,5.404272197,3.16,10.1,1073.0,5980.0,1.11,1.09,900.678
K2-99 b,K2-99,Transit,2016,18.24783,11.88151954,276.51071409,1184.0,6069.0,2.55,1.44,519.229
TOI-532 b,TOI-532,Transit,2021,2.3266508,5.82,61.5,867.0,3927.0,0.612,0.639,135.047
HD 210277 b,HD 210277,Radial Velocity,1998,442.19,13.6,410.0007,259.86,5538.0,1.07,1.01,21.2985
Kepler-178 b,Kepler-178,Transit,2014,9.576694,2.9,8.75,846.0,5676.0,1.066,0.852,716.025
Kepler-1604 b,Kepler-1604,Transit,2016,0.683684256,1.41,2.57,2023.0,4976.0,0.76,0.81,541.189
Kepler-984 b,Kepler-984,Transit,2016,43.0342272,2.12,5.14,484.0,5610.0,0.93,0.96,460.188
HD 13724 c,HD 13724,Radial Velocity,2022,142.22895,8.18,50.85254512,393.06,5835.31,1.04198,1.004,43.465
Kepler-1286 b,Kepler-1286,Transit,2016,11.25402929,2.15,5.27,888.0,5753.0,0.98,1.0,1354.46
Kepler-318 b,Kepler-318,Transit,2014,4.662715,4.71,19.9,1039.0,5746.0,1.189,1.073,489.141
Kepler-732 b,Kepler-732,Transit,2016,9.467814048,2.18,5.39,407.0,3631.0,0.46,0.49,174.826
HIP 109600 b,HIP 109600,Radial Velocity,2016,232.08,13.2,851.7844,312.88,5530.0,0.971958,0.87,66.3361
Kepler-407 b,Kepler-407,Transit,2014,0.6693124,1.19,1.93,1983.0,5487.0,1.04,0.99,338.368
GJ 1148 c,GJ 1148,Radial Velocity,2017,532.58,9.71,68.06,99.38,3287.0,0.358519,0.344045,11.0143
Kepler-897 b,Kepler-897,Transit,2016,8.0472642,2.39,6.3,855.0,5839.0,1.04,1.03,1519.25
Kepler-435 b,Kepler-435,Transit,2015,8.6001536,22.31,266.97,1729.0,6161.0,3.21,1.538,1418.77
HD 184010 d,HD 184010,Radial Velocity,2022,836.4,14.3,143.02278315,381.37,4971.0,4.86,1.35,60.7993
WASP-70 A b,WASP-70 A,Transit,2014,3.7130203,13.047,187.512,1387.0,5763.0,1.215,1.106,222.355
TOI-1798.01,TOI-1798,Transit,2024,8.021522331,2.448,6.5,734.31,5165.0,0.78,0.87,113.181
TOI-444 b,TOI-444,Transit,2023,17.9636,2.77,8.1,609.0,5225.0,0.779,0.96,57.3973
TOI-2202 b,TOI-2202,Transit,2021,11.9126075,10.95117414,287.31687993,652.07,5169.0,0.808,0.841,235.933
TrES-1 b,TrES-1,Transit,2004,3.03007,12.66617,266.9772,1140.0,5230.0,0.85,1.04,159.658
Kepler-1052 c,Kepler-1052,Transit,2023,180.921729,2.3,5.9,302.0,5818.0,0.848,0.937,943.444
Kepler-206 b,Kepler-206,Transit,2014,7.781987,1.2,1.87,983.0,5764.0,1.185,0.957,594.447
Kepler-763 b,Kepler-763,Transit,2016,1.19655156,1.22,1.98,1414.0,5166.0,0.8,0.84,962.459
Kepler-155 b,Kepler-155,Transit,2014,5.931194,2.09,5.02,614.0,4508.0,0.62,0.635,293.499
ups And c,ups And,Radial Velocity,1999,241.258,12.3,4443.24112986,407.56,6156.77,1.56,1.3,13.4054
NGTS-34 b,NGTS-34,Transit,2025,43.12655,3.65,19.1,624.0,6134.0,1.367,1.266,120.475
K2-274 b,K2-274,Transit,2018,14.1330314,2.08,4.98,655.0,5044.0,0.7,0.79,228.327
DH Tau b,DH Tau,Imaging,2004,,30.2643,3496.0,2200.0,4371.0,0.27,0.33,134.846
HD 200964 c,HD 200964,Radial Velocity,2010,852.5,13.7,385.84562,380.62,4982.0,4.92,1.39,72.5922
TOI-1011 b,TOI-1011,Transit,2025,2.470498,1.45,4.04,1364.0,5475.0,0.92,0.91,52.62
Kepler-1583 b,Kepler-1583,Transit,2016,9.32807355,0.6,0.156,788.0,5645.0,0.91,0.94,403.933
