pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,sy_dist
HD 2039 b,HD 2039,Radial Velocity,2002,1120.0,12.7,1999.1507,210.84,5945.0,1.19,1.23,85.6922
HAT-P-8 b,HAT-P-8,Transit,2008,3.07634,15.6926,406.8224,1713.0,6200.0,1.57,1.27,211.553
K2-43 b,K2-43,Transit,2016,3.471149,4.51,18.5,939.3,3840.6,0.542,0.571,182.536
Kepler-1753 b,Kepler-1753,Transit,2021,16.00460052,2.22678077,5.59,583.0,5180.0,0.769,0.86,707.688
Kepler-1176 b,Kepler-1176,Transit,2016,24.1738579,2.45,6.57,595.0,5844.0,1.02,1.01,864.699
K2-126 b,K2-126,Transit,2017,7.385655,1.97,4.54,601.0,4339.0,0.65,0.69,102.953
Kepler-1263 b,Kepler-1263,Transit,2016,4.55139967,1.14,1.55,907.0,5213.0,0.8,0.84,664.83
Kepler-1416 b,Kepler-1416,Transit,2016,1.49514952,0.88,0.615,1870.0,6019.0,1.15,1.09,949.59
Kepler-1542 c,Kepler-1542,Transit,2016,2.89223021,0.65,0.208,1287.0,5564.0,0.99,0.94,399.114
K2-85 b,K2-85,Transit,2016,0.68453862616,1.4,3.2,1355.0,4232.0,0.71,0.7,97.2179
Kepler-368 c,Kepler-368,Transit,2014,72.379334,3.88,14.3,575.0,5502.0,2.019,1.165,770.978
K2-123 b,K2-123,Transit,2017,30.951524,2.76,8.05,338.0,4035.0,0.59,0.62,161.555
Kepler-770 b,Kepler-770,Transit,2016,18.92540274,2.3,5.9,1171.0,5598.0,0.92,0.94,930.457
Kepler-1399 b,Kepler-1399,Transit,2016,1.638653058,1.25,2.1,1610.0,5735.0,0.96,0.97,1385.7
Kepler-723 b,Kepler-723,Transit,2016,4.082275068,12.19,,1016.0,5539.0,0.89,0.92,1071.8
K2-107 b,K2-107,Transit,2017,3.313959,15.98,266.9772,1649.0,6061.0,1.81,1.3,685.2
K2-45 b,K2-45,Transit,2016,1.7292684,6.71,36.4,1073.56,4103.0,0.445,0.503,495.317
K2-365 b,K2-365,Transit,2022,23.448172,2.906,8.78,,5561.0,1.051,0.823,187.222
K2-127 b,K2-127,Transit,2017,3.588163,8.37,52.9,809.0,4575.0,0.66,0.72,709.999
K2-195 b,K2-195,Transit,2018,15.852975,3.13,9.96,720.0,5713.0,0.99,0.94,315.014
K2-80 c,K2-80,Transit,2016,5.605,1.47,2.76,1002.42,5441.0,0.87,0.9,200.802
K2-229 c,K2-229,Transit,2018,8.32727,2.03,7.0,750.0,5315.0,0.79,0.87,102.564
HAT-P-3 b,HAT-P-3,Transit,2007,2.8997,10.53646,206.5895,1189.0,5185.0,0.87,1.06,134.554
WASP-32 b,WASP-32,Transit,2010,2.71866,10.76064,835.8929,1388.0,6140.0,0.95,0.72,275.994
WASP-24 b,WASP-24,Transit,2010,2.34121,15.46842,394.1092,1772.0,6075.0,1.42,1.43,322.114
Kepler-65 c,Kepler-65,Transit,2012,5.859944,2.58,5.4,1246.0,6211.0,1.41,1.25,303.728
TrES-2 b,TrES-2,Transit,2006,2.47063,15.24424,473.5667,1466.0,5850.0,1.12,1.36,215.32
Kepler-939 b,Kepler-939,Transit,2016,14.878296,1.75,3.71,692.0,5471.0,0.85,0.88,2093.62
Kepler-1028 b,Kepler-1028,Transit,2016,2.51462432,1.33,2.33,1217.0,5522.0,0.87,0.9,607.916
HAT-P-67 b,HAT-P-67,Transit,2017,4.8101069,23.9872187,143.02278315,1903.0,6640.0,2.62,1.73,371.686
Kepler-1101 b,Kepler-1101,Transit,2016,81.3151059,2.47,6.66,393.0,5614.0,0.91,0.94,742.473
Kepler-1388 b,Kepler-1388,Transit,2016,12.2854603,2.59,7.22,434.0,4098.0,0.61,0.63,453.795
Kepler-768 b,Kepler-768,Transit,2016,11.3910025,1.79,3.86,618.0,5108.0,0.78,0.82,784.56
Kepler-796 b,Kepler-796,Transit,2016,6.40087618,1.3,2.24,1109.0,5475.0,1.09,0.93,817.584
Kepler-110 b,Kepler-110,Transit,2014,12.691112,1.83,4.01,1008.0,5960.0,1.149,0.989,586.531
Kepler-1042 b,Kepler-1042,Transit,2016,10.13202575,2.19,5.43,574.0,4815.0,0.72,0.75,659.0
Kepler-334 c,Kepler-334,Transit,2014,12.758005,1.43,2.63,822.0,5828.0,1.068,1.022,426.59
Kepler-937 b,Kepler-937,Transit,2016,67.668827,3.72,13.4,495.0,6095.0,1.22,1.15,1571.46
Kepler-1117 b,Kepler-1117,Transit,2016,4.79028459,1.11,1.41,938.0,5612.0,0.93,0.95,568.487
Kepler-1789 b,Kepler-1789,Transit,2021,80.23190308,2.83137505,8.4,380.0,5436.0,0.888,0.92,611.461
Kepler-1831 b,Kepler-1831,Transit,2021,5.78387022,1.97019818,4.54,1051.0,6063.0,1.012,1.117,1053.49
Kepler-1245 b,Kepler-1245,Transit,2016,4.35409304,1.44,2.67,1043.0,5306.0,0.83,0.86,805.936
Kepler-114 b,Kepler-114,Transit,2014,5.188549,1.26,1.09,586.0,4605.0,0.667,0.77,259.533
Kepler-1105 b,Kepler-1105,Transit,2016,4.421572182,2.01,4.7,729.0,4299.0,0.68,0.71,318.004
Kepler-187 b,Kepler-187,Transit,2014,4.938864,1.41,2.57,1244.0,6105.0,1.287,1.081,1143.0
Kepler-1379 b,Kepler-1379,Transit,2016,0.881841146,1.3,2.24,1564.0,5188.0,0.79,0.83,971.325
Kepler-304 c,Kepler-304,Transit,2014,5.315946,2.17,5.35,746.0,4731.0,0.687,0.737,434.684
Kepler-1291 b,Kepler-1291,Transit,2016,8.63043276,1.66,3.39,739.0,5216.0,0.8,0.84,897.352
Kepler-304 e,Kepler-304,Transit,2016,1.499146953,1.2,1.87,1137.0,4817.0,0.73,0.8,434.684
Kepler-461 b,Kepler-461,Transit,2016,8.313783059,2.58,7.18,886.0,5634.0,0.91,0.98,692.158
Kepler-1894 b,Kepler-1894,Transit,2021,2.762660027,1.20117759,1.87,1231.0,5772.0,0.901,0.999,935.191
Kepler-576 b,Kepler-576,Transit,2016,29.91136794,3.27,10.7,541.0,5672.0,0.97,0.99,617.55
Kepler-1893 b,Kepler-1893,Transit,2021,4.179369926,1.70557445,3.55,1194.0,5633.0,1.162,0.973,1050.72
Kepler-1601 b,Kepler-1601,Transit,2016,2.20921951,0.82,0.477,1507.0,5869.0,1.07,1.04,644.456
Kepler-1922 b,Kepler-1922,Transit,2021,13.22259998,2.29064904,5.86,740.0,5931.0,0.863,0.953,1344.29
HD 80653 b,HD 80653,Transit,2020,0.71957926,1.621,5.61,2438.0,5959.0,1.199,1.15,109.86
Kepler-1542 d,Kepler-1542,Transit,2016,5.99273738,0.87,0.59,1010.0,5564.0,0.99,0.94,399.114
Kepler-666 b,Kepler-666,Transit,2016,4.49876092,2.4,6.35,1133.0,5887.0,1.05,1.03,1508.71
Kepler-211 c,Kepler-211,Transit,2014,6.04045,1.29,18.3,841.0,5123.0,0.816,0.867,309.353
Kepler-203 c,Kepler-203,Transit,2014,5.370647,2.47,749.9,1096.0,5821.0,1.114,1.06,703.302
GJ 674 b,GJ 674,Radial Velocity,2007,4.6938,3.33,11.09,530.8,3600.0,0.36463,0.35,4.54896
OGLE-TR-182 b,OGLE-TR-182,Transit,2007,3.9791,12.666,320.995,1550.0,5924.0,1.14,1.14,2501.75
HD 69830 c,HD 69830,Radial Velocity,2006,31.56,3.46,11.8,567.04,5385.0,0.886947,0.86,12.5591
GJ 3021 b,GJ 3021,Radial Velocity,2000,133.71,13.1,1071.04,350.0,5540.0,0.9,0.9,17.5559
HD 221287 b,HD 221287,Radial Velocity,2007,456.1,13.1,982.05,290.13,6304.0,1.13864,1.25,55.9231
HD 47536 b,HD 47536,Radial Velocity,2002,712.13,12.6,2330.0,736.52,4380.0,23.47,2.1,122.536
HD 107148 b,HD 107148,Radial Velocity,2005,48.056,9.6,66.741,582.78,5797.0,1.169193,1.12,49.4156
HD 179949 b,HD 179949,Radial Velocity,2000,3.092514,13.9,291.12,1590.53,6168.0,1.266865,1.21,27.4573
HD 188015 b,HD 188015,Radial Velocity,2004,461.2,13.6,476.72,267.98,5746.0,1.125296,1.09,50.6706
HD 27442 b,HD 27442,Radial Velocity,2000,428.1,13.5,495.8,369.62,4846.0,3.18,1.23,18.2704
HD 46375 b,HD 46375,Radial Velocity,2000,3.023573,10.0,71.8,1221.4,5285.0,0.914196,0.92,29.5529
HAT-P-2 b,HAT-P-2,Transit,2007,5.6335158,10.659759,2866.81223114,1540.0,6380.0,1.39,1.33,127.774
HD 109749 b,HD 109749,Radial Velocity,2005,5.239891,11.1,85.8141,1250.83,5824.0,1.22,1.13,63.0821
HD 149143 b,HD 149143,Radial Velocity,2005,4.07182,13.6,422.7139,1471.9,5856.0,1.44,1.2,73.2801
HD 224693 b,HD 224693,Radial Velocity,2006,26.6904,14.0,222.481,903.45,5894.0,1.93,1.31,93.5015
HD 231701 b,HD 231701,Radial Velocity,2007,141.63,13.7,359.1479,483.27,6101.0,1.53,1.21,108.877
HIP 14810 b,HIP 14810,Radial Velocity,2005,6.673892,13.0,1239.537,1048.2,5544.0,1.07,1.01,50.48
HIP 14810 d,HIP 14810,Radial Velocity,2009,981.8,14.1,187.5197,198.54,5544.0,1.07,1.01,50.48
HD 207832 b,HD 207832,Radial Velocity,2012,160.07,14.2,177.9848,340.28,5726.0,0.89,1.05,58.9291
HD 37605 c,HD 37605,Radial Velocity,2012,2720.0,13.1,1013.8777,126.75,5329.0,0.91,0.94,46.7864
HD 1605 c,HD 1605,Radial Velocity,2015,2149.0,13.0,1150.5446,233.88,4915.0,3.49,1.33,88.8047
HD 55696 b,HD 55696,Radial Velocity,2018,1827.0,12.9,1357.12729789,200.43,6012.0,1.52,1.29,77.9693
HD 148164 c,HD 148164,Radial Velocity,2018,5062.0,12.8,1640.0028,135.77,6032.0,1.34,1.21,77.1971
HD 211810 b,HD 211810,Radial Velocity,2018,1558.0,14.0,212.9461,177.77,5652.0,1.13,1.03,64.6353
HD 221416 b,HD 221416,Transit,2019,14.2767,9.17,60.5,1314.67,5080.0,2.943,1.212,95.5483
Kepler-595 c,Kepler-595,Transit,2020,12.38602,1.009,3.3,679.0,5138.5,0.821,0.93,643.009
Kepler-595 b,Kepler-595,Transit,2016,25.3029092,3.708,17.4,535.0,5138.5,0.821,0.93,643.009
PSR B1257+12 b,PSR B1257+12,Pulsar Timing,1994,25.262,0.338,0.02,,,,1.4,600.0
PSR B1257+12 c,PSR B1257+12,Pulsar Timing,1992,66.5419,1.91,4.3,,,,1.4,600.0
OGLE-TR-211 b,OGLE-TR-211,Transit,2007,3.67724,15.244,327.351,1686.0,6325.0,1.64,1.33,1515.26
Lupus-TR-3 b,Lupus-TR-3,Transit,2007,3.91405,9.976,257.431,1013.56,5000.0,0.82,0.87,773.409
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,,12.6,2383.6,17.6,2936.0,0.231916,0.019,120.42398696
WASP-21 b,WASP-21,Transit,2010,4.322482,11.99,95.345,1333.0,5800.0,1.06,1.01,258.426
CoRoT-10 b,CoRoT-10,Transit,2010,13.2406,10.87,874.0,600.0,5075.0,0.79,0.89,338.386
CoRoT-12 b,CoRoT-12,Transit,2010,2.828042,16.14,291.438,1442.0,5675.0,1.116,1.078,1126.37
CoRoT-13 b,CoRoT-13,Transit,2010,4.03519,9.92,415.704,1700.0,5945.0,1.01,1.09,1148.93
HD 285968 b,HD 285968,Radial Velocity,2008,8.7836,2.83,8.4,450.0,3703.49,0.478214,0.5,9.47045
HD 205739 b,HD 205739,Radial Velocity,2008,279.8,13.6,435.41,362.84,6176.0,1.33,1.22,92.5087
CoRoT-3 b,CoRoT-3,Transit,2008,4.2568,11.32,6883.91,1695.0,6740.0,1.56,1.37,768.771
HD 16417 b,HD 16417,Radial Velocity,2008,17.24,5.0,22.1,964.0,5841.0,1.639984,1.2,25.3936
AB Pic b,AB Pic,Imaging,2005,,12.3,4290.5,15.8,5285.0,0.999394,0.9,50.0475
CT Cha b,CT Cha,Imaging,2007,,24.66,5403.0,2600.0,4403.0,1.679694,,190.72
HD 9446 b,HD 9446,Radial Velocity,2009,30.052,14.0,222.472,642.55,5793.0,1.0,1.0,50.3503
Kepler-4 b,Kepler-4,Transit,2009,3.21346,4.002,24.472,1650.0,5857.0,1.487,1.223,487.916
GJ 876 c,GJ 876,Radial Velocity,2000,30.0881,14.0,226.9846,241.66,3293.74,0.3,0.32,4.67517
HIP 79431 b,HIP 79431,Radial Velocity,2009,111.7,13.4,667.415,177.42,3191.0,0.478625,0.49,14.5324
TOI-907.01,TOI-907,Transit,2024,4.5849129,9.6158851,67.0,1846.6,6272.0,2.059789,1.069357,312.529
WASP-31 b,WASP-31,Transit,2010,3.4059096,17.363,151.916,1423.7,6302.0,1.252,1.163,383.829
24 Sex b,24 Sex,Radial Velocity,2010,452.8,13.4,632.46,471.32,5098.0,4.9,1.54,72.0691
WASP-37 b,WASP-37,Transit,2010,3.577469,13.002,572.07,1232.5,5800.0,1.003,0.925,392.791
Kepler-9 d,Kepler-9,Transit,2010,1.592851,1.64,8.41466053,2026.0,5777.0,1.02,1.07,628.257
KOI-217 b,KOI-217,Transit,2010,3.90512,12.442,,1046.0,5545.0,0.86,0.95,914.699
HD 90156 b,HD 90156,Radial Velocity,2011,49.77,4.43,17.98,518.01,5599.0,0.920286,0.84,21.9496
HD 177830 c,HD 177830,Radial Velocity,2010,110.9,7.87,47.6725,538.95,4949.0,2.62,1.47,62.7674
ups And b,ups And,Radial Velocity,1996,4.617033,14.0,218.531,1523.73,6156.77,1.56,1.3,13.4054
ups And d,ups And,Radial Velocity,1999,1276.46,12.5,3257.74117175,233.9,6156.77,1.56,1.3,13.4054
OGLE-2017-BLG-0373L b,OGLE-2017-BLG-0373L,Microlensing,2018,,14.0,127.0,,,,0.248,5915.0
Kepler-1737 b,Kepler-1737,Transit,2021,64.61750031,5.395,25.1,383.0,5043.0,0.881,0.834,
K2-269 b,K2-269,Transit,2018,4.144965,1.57,3.09,1429.0,6209.0,1.45,1.16,360.76
TOI-1249 b,TOI-1249,Transit,2024,13.079151,3.2710301,11.9,726.89,5497.0,0.9785,1.0062,139.49
Kepler-106 d,Kepler-106,Transit,2014,23.9802,0.95,8.1,649.0,5858.0,1.04,1.0,444.322
Kepler-1031 b,Kepler-1031,Transit,2016,1.22621732,0.87,0.59,2024.0,6011.0,1.12,1.09,682.882
CD-35 2722 B b,CD-35 2722 B,Radial Velocity,2026,171.11,13.9,292.40213444,77.39,1800.0,0.159,0.035,
Kepler-948 b,Kepler-948,Transit,2016,7.76846622,1.85,4.08,841.0,5679.0,0.94,0.96,868.017
OGLE-2014-BLG-0319L b,OGLE-2014-BLG-0319L,Microlensing,2022,,14.1,181.16219199,,,,0.52,7730.0
OGLE-2018-BLG-1011L b,OGLE-2018-BLG-1011L,Microlensing,2019,,13.5,570.0,,,,0.18,7100.0
WASP-61 b,WASP-61,Transit,2012,3.8559,15.80469,851.7844,1624.4,6250.0,1.55,1.82,488.66
KMT-2022-BLG-0303L b,KMT-2022-BLG-0303L,Microlensing,2024,,14.2,163.04597279,,,,0.368,6570.0
OGLE-2019-BLG-0954L b,OGLE-2019-BLG-0954L,Microlensing,2021,,12.3,4513.1633794,,,,0.8,3630.0
WASP-123 b,WASP-123,Transit,2016,2.97764359,15.13212395,285.72917,1500.0,5740.0,1.285,1.166,197.996
Kepler-1882 b,Kepler-1882,Transit,2021,13.78730011,1.48674404,2.81,894.0,5691.0,1.458,1.068,443.371
KOI-984 b,KOI-984,Transit,2022,4.2881785,4.3,17.1,1022.0,5295.0,0.818,0.928,252.667
Kepler-1573 b,Kepler-1573,Transit,2016,2.6157554,1.2,1.87,1379.0,5808.0,1.0,1.01,1455.36
Kepler-802 b,Kepler-802,Transit,2016,40.0587473,3.54,12.3,489.0,5507.0,0.9,0.93,780.585
KMT-2023-BLG-1454L b,KMT-2023-BLG-1454L,Microlensing,2024,,14.1,200.23189641,,,,0.17,7220.0
Kepler-1440 b,Kepler-1440,Transit,2016,39.859484,1.26,2.13,597.0,5698.0,0.96,0.98,1115.35
WASP-130 b,WASP-130,Transit,2016,11.55098,9.97601,390.9309,833.0,5625.0,0.96,1.04,172.256
OGLE-2017-BLG-1049L b,OGLE-2017-BLG-1049L,Microlensing,2020,,12.8,1760.0,,,,0.55,5670.0
Kepler-949 b,Kepler-949,Transit,2016,8.689307296,2.91,8.8,782.0,5403.0,0.86,0.89,486.105
Kepler-1964 b,Kepler-1964,Transit,2021,2.440829992,1.7810587,3.83,986.0,4803.0,0.698,0.752,
KMT-2023-BLG-1592L b,KMT-2023-BLG-1592L,Microlensing,2026,,14.1,184.34047606,,,,0.55,7200.0
OGLE-2019-BLG-0362L b,OGLE-2019-BLG-0362L,Microlensing,2022,,13.1,1036.12060682,,,,0.42,5830.0
KMT-2017-BLG-1057L b,KMT-2017-BLG-1057L,Microlensing,2024,,5.19,23.5,,,,0.57,6500.0
KMT-2025-BLG-1616L b,KMT-2025-BLG-1616L,Microlensing,2026,,7.34,42.32,,,,0.26,7500.0
Wolf 327 b,Wolf 327,Transit,2024,0.5734745,1.24,2.53,996.0,3542.0,0.406,0.405,28.5321
Kepler-62 f,Kepler-62,Transit,2013,267.291,1.41,35.0,208.0,4925.0,0.64,0.69,300.874
WASP-53 c,WASP-53,Radial Velocity,2017,2840.0,,5196.5205,110.47,4953.0,0.798,0.839,201.338
KMT-2023-BLG-1743L b,KMT-2023-BLG-1743L,Microlensing,2024,,12.1,6356.56814,,,,0.11,7130.0
TOI-5789 c,TOI-5789,Transit,2026,12.927748,2.86,5.0,718.0,5185.0,0.833,0.821,20.4581
MOA-2019-BLG-008L b,MOA-2019-BLG-008L,Microlensing,2022,,12.2,5720.911326,,,,0.9,2700.0
OGLE-2016-BLG-1598L b,OGLE-2016-BLG-1598L,Microlensing,2024,,13.6,120.77479466,,,,0.55,5910.0
OGLE-2017-BLG-1275L b,OGLE-2017-BLG-1275L,Microlensing,2024,,12.8,1875.1876013,,,,0.63,7690.0
HATS-44 b,HATS-44,Transit,2018,2.7439004,11.960003,177.9848,1161.0,5080.0,0.847,0.86,446.035
HD 160691 b,HD 160691,Radial Velocity,2000,645.0,,1366.6621501,262.13,5773.0,1.33,1.13,15.5981
Kepler-132 b,Kepler-132,Transit,2014,6.178196,1.21,1.92,1082.0,6003.0,1.178,0.929,349.549
KMT-2021-BLG-0192L b,KMT-2021-BLG-0192L,Microlensing,2022,,6.56,34.96112477,,,,0.27,5120.0
Kepler-49 b,Kepler-49,Transit,2012,7.2,2.579,9.77,509.0,4095.6,0.618,0.607,311.222
KMT-2016-BLG-2364L b,KMT-2016-BLG-2364L,Microlensing,2020,,13.0,1250.0,,,,0.5,6440.0
Kepler-218 c,Kepler-218,Transit,2014,44.699576,3.14,10.0,500.0,5502.0,1.063,1.019,656.38
GJ 328 c,GJ 328,Radial Velocity,2023,241.8,4.91,21.4,184.01,3897.0,0.63,0.65,20.5266
K2-212 b,K2-212,Transit,2018,9.795647,2.65,7.51,542.0,4349.0,0.678,0.622,109.218
KMT-2022-BLG-1818L c,KMT-2022-BLG-1818L,Microlensing,2026,,13.2,114.41822652,,,,0.79,5300.0
Qatar-8 b,Qatar-8,Transit,2019,3.71495,14.403565,117.91493,1457.0,5738.0,1.315,1.029,281.498
KMT-2018-BLG-0885L b,KMT-2018-BLG-0885L,Microlensing,2023,,11.9,9217.023803,,,,0.29,6890.0
KMT-2016-BLG-2321L b,KMT-2016-BLG-2321L,Microlensing,2024,,13.8,301.93698665,,,,0.73,3580.0
Kepler-74 b,Kepler-74,Transit,2013,7.340711,10.76,200.22,1078.0,6000.0,1.12,1.18,1177.55
OGLE-2017-BLG-0482L b,OGLE-2017-BLG-0482L,Microlensing,2018,,2.95,9.0,,,,0.2,5800.0
PSR B0329+54 b,PSR B0329+54,Pulsar Timing,2017,10140.0,1.22,1.97,,,,1.44,504.93312058
K2-140 b,K2-140,Transit,2017,6.569188,13.56286665,295.58041851,962.0,5585.0,1.06,0.96,347.917
HD 184010 c,HD 184010,Radial Velocity,2022,484.3,11.8,95.3485221,457.53,4971.0,4.86,1.35,60.7993
EPIC 201595106 b,EPIC 201595106,Transit,2021,0.87724,1.565,7.67,2038.0,5679.0,0.98,0.958,232.1
TOI-1203 e,TOI-1203,Radial Velocity,2025,204.59,7.31,42.1,,5737.0,1.179,0.886,64.9943
Kepler-1503 b,Kepler-1503,Transit,2016,96.16987,2.27,5.77,321.0,5069.0,0.74,0.77,1225.57
Kepler-1781 b,Kepler-1781,Transit,2021,4.88752985,2.38091029,6.26,1003.0,5568.0,0.957,1.053,962.63
Kepler-57 c,Kepler-57,Transit,2012,11.6,2.196,6.86,671.0,5187.9,0.826,0.859,644.14
Kepler-1124 b,Kepler-1124,Transit,2016,2.852348975,1.28,2.18,621.0,3658.0,0.34,0.35,289.899
Kepler-1581 b,Kepler-1581,Transit,2016,6.28385491,0.8,0.437,1108.0,6022.0,1.23,1.12,493.175
K2-136 c,K2-136,Transit,2017,17.30723,3.0,18.1,470.0,4500.0,0.677,0.742,59.2474
HD 39091 b,HD 39091,Radial Velocity,2001,2088.8,12.3,4481.3805387,172.74,5998.0,1.17,1.07,18.2702
LHS 1815 b,LHS 1815,Transit,2020,3.814334,1.088,1.58,617.0,3643.0,0.501,0.502,29.8424
Kepler-464 b,Kepler-464,Transit,2016,7.256965224,3.3,10.9,1163.0,5933.0,1.59,1.21,667.604
Kepler-1580 b,Kepler-1580,Transit,2016,56.6449279,2.11,5.1,733.0,6228.0,2.15,1.47,1002.02
Kepler-198 d,Kepler-198,Transit,2016,1.31184443,1.53,2.96,1562.0,5636.0,0.93,0.97,495.358
HD 50554 b,HD 50554,Radial Velocity,2002,1240.0,12.8,1859.29618095,192.65,6050.0,1.02,1.1,31.1664
HD 73267 c,HD 73267,Radial Velocity,2022,17071.78045,12.8,1630.77755632,69.53,5387.0,0.909,0.93,50.4093
Kepler-580 b,Kepler-580,Transit,2016,8.222419656,2.57,7.13,558.0,4298.0,0.64,0.67,323.899
KOI-12 b,KOI-12,Transit,2015,17.855182,13.78707,349.613,911.0,6635.0,1.4,1.5,399.398
Kepler-637 b,Kepler-637,Transit,2016,23.20584623,4.75,20.2,1002.0,6096.0,2.56,1.64,786.091
HD 29985 b,HD 29985,Radial Velocity,2022,20608.14049,12.8,1739.47487151,46.73,4678.0,0.574666,0.75,31.2707
HD 165155 b,HD 165155,Radial Velocity,2016,434.5,13.2,918.5287,239.9,5426.0,0.95,1.02,63.3574
HD 22946 d,HD 22946,Transit,2023,47.42489,2.607,26.57,546.0,6169.0,1.117,1.098,62.7792
Kepler-1697 b,Kepler-1697,Transit,2020,33.4969,1.25954761,2.12,630.0,4681.53,0.772344,0.747,247.771
Kepler-674 b,Kepler-674,Transit,2016,2.243381847,1.69,3.5,822.0,4192.0,0.57,0.6,342.254
Kepler-873 b,Kepler-873,Transit,2016,20.5533844,3.75,13.5,749.0,6163.0,1.27,1.18,1182.22
Kepler-783 b,Kepler-783,Transit,2016,4.29264638,0.78,0.399,991.0,5521.0,0.89,0.93,516.09
HD 31527 c,HD 31527,Radial Velocity,2019,51.2053,3.85,14.16,571.07,5898.0,1.073694,0.96,38.4473
Kepler-1955 b,Kepler-1955,Transit,2021,14.26519966,1.16654878,1.69,853.0,5825.0,1.291,1.049,449.351
Kepler-1684 b,Kepler-1684,Transit,2020,47.7055,2.87084792,8.6,347.0,4706.54,0.666755,0.75,621.996
Kepler-322 c,Kepler-322,Transit,2014,4.337234,1.67,3.43,996.0,5388.0,0.89,0.908,400.48
Qatar-5 b,Qatar-5,Transit,2017,2.8792319,12.408363,1373.0256,1415.0,5747.0,1.076,1.128,367.658
Kepler-399 c,Kepler-399,Transit,2014,26.67569,1.43,2.63,630.0,5502.0,0.68,0.902,740.537
DMPP-2 c,DMPP-2,Radial Velocity,2026,3.168,8.26,51.79,1910.88,6500.0,1.78,1.41,137.94
TOI-1062 b,TOI-1062,Transit,2021,4.11296,2.265,10.15,1077.0,5328.0,0.84,0.94,82.1733
TOI-1759 b,TOI-1759,Transit,2022,18.85019,3.14,10.8,443.0,4065.0,0.597,0.606,40.0654
TOI-2285 b,TOI-2285,Transit,2021,13.635109,1.77,19.5,358.0,3491.0,0.464,0.454,42.409
Kepler-546 b,Kepler-546,Transit,2016,4.147020258,7.0,39.1,1258.0,5967.0,1.15,1.11,1019.65
Kepler-682 b,Kepler-682,Transit,2016,12.611906672,7.37,42.6,753.0,5559.0,0.89,0.92,1979.25
TOI-220 b,TOI-220,Transit,2021,10.695264,3.03,13.8,805.0,5298.0,0.858,0.825,90.7402
TOI-5624 f,TOI-5624,Transit Timing Variations,2026,45.37,3.66,13.0,478.5,5327.0,0.82,0.858,101.913
Kepler-242 b,Kepler-242,Transit,2014,8.20395,2.61,7.32,742.0,5020.0,0.85,0.748,600.241
Kepler-258 b,Kepler-258,Transit,2014,13.19722,4.06,15.5,642.0,4942.0,0.915,0.82,575.988
TOI-4898 b,TOI-4898,Transit,2026,2.76520470167,3.7197954,13.4,667.0,4201.57,0.639344,0.619077,98.5958
Kepler-1292 b,Kepler-1292,Transit,2016,3.27646405,1.82,3.97,1195.0,5556.0,0.93,0.95,1493.43
HD 128717 b,HD 128717,Astrometry,2025,3420.0,12.1,6293.0024586,151.9,6210.0,1.248,1.212,73.636
TOI-3278 b,TOI-3278,Transit,2026,3.246456,13.89913607,95.3485221,1561.0,5720.0,1.39,1.04,904.752
Kepler-103 b,Kepler-103,Transit,2014,15.9653287,3.4857,11.67,973.0,6047.0,1.492,1.212,494.832
TOI-4492 b,TOI-4492,Transit,2026,4.4331824,11.78063872,1881.54416944,1207.0,5711.0,1.222,1.067,143.184
pi Men d,HD 39091,Radial Velocity,2022,124.64,3.72,13.38,443.55,5998.0,1.19,1.07,18.2702
Kepler-1058 b,Kepler-1058,Transit,2016,110.96546,2.72,7.85,239.0,4644.0,0.69,0.73,491.997
Kepler-160 b,Kepler-160,Transit,2014,4.309397,1.715,3.59,1134.0,5471.0,1.118,1.003,937.013
Kepler-1365 b,Kepler-1365,Transit,2016,7.69993485,0.92,0.721,969.0,5770.0,1.05,1.0,840.128
Kepler-346 c,Kepler-346,Transit,2014,23.851549,3.07,9.64,654.0,6033.0,1.021,0.943,984.105
Kepler-1489 b,Kepler-1489,Transit,2016,82.294751,1.77,3.78,400.0,5655.0,0.9,0.93,1283.05
Kepler-1126 b,Kepler-1126,Transit,2016,108.593329,1.73,3.64,374.0,5798.0,0.93,0.92,635.736
Kepler-1914 b,Kepler-1914,Transit,2021,30.82789993,2.9429803,8.97,585.0,5982.0,0.96,1.047,1621.56
HATS-43 b,HATS-43,Transit,2018,4.3888497,13.22662,82.95363,1003.0,5099.0,0.812,0.837,362.273
Kepler-685 b,Kepler-685,Transit,2016,1.6255222,10.58,78.8,1579.0,5963.0,1.16,1.11,938.715
Kepler-1303 b,Kepler-1303,Transit,2016,7.56127224,1.42,2.6,891.0,5771.0,1.0,1.01,897.783
Kepler-1016 b,Kepler-1016,Transit,2016,1.954524342,2.18,5.39,1540.0,5821.0,1.0,0.99,1402.82
HIP 54373 c,HIP 54373,Radial Velocity,2019,15.144,3.57,12.44,463.2,4021.0,0.564998,0.57,18.7168
L 363-38 b,L 363-38,Radial Velocity,2023,8.781,2.0,4.67,330.0,3129.0,0.274,0.21,10.2295
HAT-P-46 b,HAT-P-46,Transit,2014,4.463129,14.392,156.684,1458.0,6120.0,1.396,1.284,290.736
K2-396 c,K2-396,Transit,2022,25.76051,3.124,9.93,,5236.0,0.92,0.954,274.864
